UniprotAccession,Description,Globulins,PSMs,Abundance[S4],Abundance[S37],Abundance[S38],Abundance[S39],Abundance[S40],Abundance[S41],Abundance[S42],Abundance[S43],Abundance[S44],Abundance[S45],Found[S4],Found[S37],Found[S38],Found[S39],Found[S40],Found[S41],Found[S42],Found[S43],Found[S44],Found[S45],Gene
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS6 PE=1 SV=1",0,35,NA,455066.5508,12837.34473,9583.046875,161936.1563,81324.85938,64783.05859,289374.2344,146213.125,2759705.822,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NDUFS6
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,0,22,345503.5078,2506813.719,19319.33008,9878.158203,2827728.898,33259.88672,487589.7568,3419939.688,4264056.869,2786121.545,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,GOLGB1
P17540,"Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2",0,18,1258608.398,89242.95313,296424.5625,10907.80664,3288.713867,NA,341066.2568,79423.35938,163511.2336,NA,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,CKMT2
Q9H777,Zinc phosphodiesterase ELAC protein 1 OS=Homo sapiens OX=9606 GN=ELAC1 PE=1 SV=2,0,1,NA,NA,NA,11327.95605,NA,3647.922119,NA,8874.022461,3208.199463,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,ELAC1
Q7L5D6,Golgi to ER traffic protein 4 homolog OS=Homo sapiens OX=9606 GN=GET4 PE=1 SV=1,0,7,111239.5938,61398.82422,789740.7813,11382.6709,47445.14063,42150.71875,NA,86597.04688,16542.89453,193697.3789,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,GET4
Q99595,Mitochondrial import inner membrane translocase subunit Tim17-A OS=Homo sapiens OX=9606 GN=TIMM17A PE=1 SV=1,0,3,14554.40918,17352.26563,NA,12525.00977,68044.82031,9500.916016,NA,27866.80469,NA,NA,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,TIMM17A
Q8IUH3,RNA-binding protein 45 OS=Homo sapiens OX=9606 GN=RBM45 PE=1 SV=1,0,4,5694.128418,NA,2651.50415,12785.10254,NA,NA,NA,NA,NA,NA,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RBM45
Q96MU7,YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3,0,3,10362.57715,53531.27441,NA,13573.86914,NA,8312.584961,117340.7734,NA,NA,6530.093262,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,YTHDC1
Q6ZVX7,F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1,0,10,56789.57422,167469.125,99329.69824,13743.05273,134202.0708,213142.7881,168635.4844,174088.7773,NA,144979.6094,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,NCCRP1
Q8N2U9,Solute carrier family 66 member 2 OS=Homo sapiens OX=9606 GN=SLC66A2 PE=1 SV=1,0,1,NA,8926.671875,4849.60791,15127.74316,18876.72266,15611.71289,NA,9567.501953,17801.65234,11814.51074,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,SLC66A2
Q9ULC0,Endomucin OS=Homo sapiens OX=9606 GN=EMCN PE=1 SV=2,0,3,NA,7016.459473,12828.62915,15684.47363,8073.694336,8585.30957,5484.01123,7864.173828,12963.69922,NA,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,EMCN
Q9HAY6,"Beta,beta-carotene 15,15'-dioxygenase OS=Homo sapiens OX=9606 GN=BCO1 PE=1 SV=1",0,2,NA,NA,2188.917969,15952.30859,NA,32638.96094,NA,4155.090332,NA,NA,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,BCO1
Q96FS4,Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,0,13,213893.8594,45381.13672,236334.4258,18092.02148,399305.8594,73351.16406,51775.98242,NA,412922.1875,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,SIPA1
Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Homo sapiens OX=9606 GN=AGPAT1 PE=1 SV=2,0,5,1471700.515,199161.4785,5483.143066,18324.49805,30119.75781,55122.67188,648910.6133,24619.32422,402169.9277,48891.75391,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,AGPAT1
Q5JU85,IQ motif and SEC7 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=IQSEC2 PE=1 SV=2,0,2,21470.49219,NA,NA,18434.41602,5080.737793,NA,15192.88281,24889.58789,NA,20854.87109,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,IQSEC2
P20645,Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=1,0,36,331398.1465,144975.1953,76298.09766,18561.53906,150372.3594,52337.84766,158734.9277,253381.3594,7267.431152,322922.2334,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,M6PR
P06454,Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2,0,92,1276363.979,13085.85352,NA,19071.98242,720328.6211,512464.6411,1008780.473,211602.833,11901.12207,216055.8672,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PTMA
Q9Y2Q9,"28S ribosomal protein S28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS28 PE=1 SV=1",0,6,67420.32031,70836.40625,NA,20568.91602,19338.72461,40335.03613,36290.53125,111459.8125,48415.75781,NA,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,MRPS28
O43149,Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6,0,9,140032.7617,88331.60938,41984.17188,21056.85742,41255.40234,85280.64453,68658.15625,119549.4336,35091.66016,106740.625,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ZZEF1
Q8IZL2,Mastermind-like protein 2 OS=Homo sapiens OX=9606 GN=MAML2 PE=1 SV=2,0,6,211304.2344,93416.96875,20262.00391,21865.70313,50677.10547,72989.75,87268.875,93465.72656,67024.0625,57062.84375,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MAML2
O95400,CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,0,2,NA,NA,NA,22202.22461,9819.796875,NA,18799.30859,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,CD2BP2
Q15814,Tubulin-specific chaperone C OS=Homo sapiens OX=9606 GN=TBCC PE=1 SV=2,0,12,215730.084,56643.80859,108111.8584,23868.13477,40925.01953,210200.0898,259101.8262,81608.85156,211045.4609,39620.05469,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,TBCC
Q96FQ6,Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1,0,25,89692.64844,87254.54688,56229.375,24712.41211,NA,392967.5781,103656.4297,102253.3438,NA,NA,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,S100A16
Q8NHQ9,ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3,0,2,NA,11436.21582,NA,24810.53711,NA,21087.75586,NA,NA,NA,NA,Not Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,DDX55
Q9BW60,Elongation of very long chain fatty acids protein 1 OS=Homo sapiens OX=9606 GN=ELOVL1 PE=1 SV=1,0,3,96069.10156,4960.850098,NA,25207.00977,NA,NA,34019.28125,NA,NA,192745.4688,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,ELOVL1
Q9Y6A4,Cilia- and flagella-associated protein 20 OS=Homo sapiens OX=9606 GN=CFAP20 PE=1 SV=1,0,8,37116.71094,68768.70898,73887.51855,25893.63086,212611.0625,961736.2852,1086926.725,429228.6445,851124.2324,436981.7188,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CFAP20
Q9NR99,Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3,0,12,55089.80469,230196.4922,65098.69385,27104.30078,69182.05469,14233.36719,671880.5703,NA,97297.31641,357304.4082,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,MXRA5
O95407,Tumor necrosis factor receptor superfamily member 6B OS=Homo sapiens OX=9606 GN=TNFRSF6B PE=1 SV=1,0,1,NA,NA,NA,28277.16211,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TNFRSF6B
Q5VWZ2,Lysophospholipase-like protein 1 OS=Homo sapiens OX=9606 GN=LYPLAL1 PE=1 SV=3,0,34,346379.75,38784.55078,109076.3203,28359.64453,652573.8359,278504.334,343962.0625,1305638.688,453014.1758,531966.3281,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,LYPLAL1
Q13888,General transcription factor IIH subunit 2 OS=Homo sapiens OX=9606 GN=GTF2H2 PE=1 SV=1,0,4,NA,NA,NA,29302.34766,NA,13734.38672,NA,NA,135955.0625,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,GTF2H2
Q9NQG6,Mitochondrial dynamics protein MID51 OS=Homo sapiens OX=9606 GN=MIEF1 PE=1 SV=1,0,1,NA,16357.49219,6570.668457,29812.49219,NA,17611.28711,NA,20873.03516,24022.61328,NA,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,MIEF1
O75342,"Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens OX=9606 GN=ALOX12B PE=1 SV=1",0,4,NA,NA,NA,30175.29492,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ALOX12B
Q6PJT7,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,0,14,NA,249549.4375,141673.1992,32264.17969,228091.2969,219668.7969,19648.12891,227567.3906,NA,219129.7031,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,ZC3H14
Q01970,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 PE=1 SV=2",0,8,45373.68359,292120.8125,44311.35547,32828.90625,NA,NA,38094.47266,90411.78906,113375.2031,NA,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,PLCB3
Q9UI43,"rRNA methyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=MRM2 PE=1 SV=1",0,4,NA,10239.26367,NA,33294.39453,NA,10062.95996,22757.35938,10086.14063,15414.46973,15141.45117,Not Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MRM2
Q7Z6E9,E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1,0,2,NA,NA,NA,33405.20703,NA,37358.77344,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,RBBP6
Q14149,MORC family CW-type zinc finger protein 3 OS=Homo sapiens OX=9606 GN=MORC3 PE=1 SV=3,0,8,666353.6563,197655.3457,150407.584,33513.8125,538542.8281,178329.5273,901435.2422,287793.3496,306432.1719,196464.1973,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MORC3
P60059,Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1,0,3,NA,NA,NA,33671.52344,32524.79492,NA,NA,NA,NA,18922.01367,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,SEC61G
Q15382,GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1,0,22,218085.125,59708.70508,39623.18555,34107.95313,21866.47656,62235.92773,41214.85938,3037028.342,226841.0078,4182953.389,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RHEB
Q9H1I8,Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens OX=9606 GN=ASCC2 PE=1 SV=3,0,4,NA,42315.58594,27107.35547,34138.81641,997863.8906,384274.0625,NA,149130.8594,351433.5625,105221.4375,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,ASCC2
Q9NQT4,Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1,0,7,295680.0313,595137.7109,376603.0938,35243.86719,1633304.563,971219.3281,597052.7813,790741.4375,932506.625,623828.3496,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,EXOSC5
Q9Y316,Protein MEMO1 OS=Homo sapiens OX=9606 GN=MEMO1 PE=1 SV=1,0,12,241635.3516,NA,39834.16016,35435.08203,50056.07813,NA,82890.67188,NA,NA,843319.0117,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,MEMO1
Q9Y3C8,Ubiquitin-fold modifier-conjugating enzyme 1 OS=Homo sapiens OX=9606 GN=UFC1 PE=1 SV=3,0,21,138563.6406,277487.1406,300485.457,36184.50391,178584.3594,349442.3984,185479.0781,236881.9688,NA,174339.3281,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,UFC1
Q96AQ7,Cell death activator CIDE-3 OS=Homo sapiens OX=9606 GN=CIDEC PE=1 SV=1,0,9,105220.7383,166725.1797,62278.39404,37150.96094,176605.2734,168185.0313,232076.6875,111986.7207,66328.3418,54272.05859,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CIDEC
P22732,"Solute carrier family 2, facilitated glucose transporter member 5 OS=Homo sapiens OX=9606 GN=SLC2A5 PE=1 SV=1",0,1,NA,37505.92969,20975.75781,37295.99219,NA,NA,NA,44171.85156,36228.72656,NA,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,SLC2A5
P21757,Macrophage scavenger receptor types I and II OS=Homo sapiens OX=9606 GN=MSR1 PE=1 SV=1,0,2,NA,NA,NA,37541.61719,33322.08203,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,MSR1
Q9NQA3,WAS protein family homolog 6 OS=Homo sapiens OX=9606 GN=WASH6P PE=1 SV=3,0,12,599545.3125,172088.6406,NA,37623.96875,96661.00781,NA,490021.7188,142155.25,26221.91211,192559,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,WASH6P
Q99611,"Selenide, water dikinase 2 OS=Homo sapiens OX=9606 GN=SEPHS2 PE=1 SV=3",0,15,NA,17909.6543,35416.43945,37703.34766,30479.64258,NA,NA,NA,66098.35938,16796.99414,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,SEPHS2
Q8N4P3,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 OS=Homo sapiens OX=9606 GN=HDDC3 PE=1 SV=3",0,15,234934.8281,33780.58594,NA,37825.26563,NA,NA,127404.5547,98535.88477,73106.61719,NA,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,HDDC3
Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Homo sapiens OX=9606 GN=CACNA2D3 PE=1 SV=1,0,5,2180225.25,33572.55469,20822.16211,38614.60156,43240.64063,93114.94531,1828204.75,40028.4375,36312.44922,44340.98828,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CACNA2D3
P03905,NADH-ubiquinone oxidoreductase chain 4 OS=Homo sapiens OX=9606 GN=MT-ND4 PE=1 SV=1,0,16,18548.28516,73107.11133,NA,39547.78125,46306.69238,32314.64453,NA,26092.10938,NA,41567.61426,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,MT-ND4
O95447,Lebercilin-like protein OS=Homo sapiens OX=9606 GN=LCA5L PE=1 SV=1,0,1,NA,NA,NA,39840.08984,NA,NA,NA,33643.67188,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,LCA5L
O43665,Regulator of G-protein signaling 10 OS=Homo sapiens OX=9606 GN=RGS10 PE=1 SV=3,0,10,283838.1172,29854.17578,22498.36328,40576.03906,51868.91016,16779.62305,228864.7969,NA,46056.17969,43369.02344,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,RGS10
P62308,Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1,0,2,NA,NA,18736.36719,40679.67188,NA,NA,NA,NA,NA,19789.80273,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,SNRPG
O43464,"Serine protease HTRA2, mitochondrial OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=2",0,13,NA,NA,25947.98047,41208.82813,50149.28125,67685.44531,NA,51684.87891,44643.75391,NA,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,HTRA2
P22090,"40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2",0,152,192287.3594,1353067.953,213622.1206,42152.02734,226824.4268,1200562.839,133606.3906,1408137.021,329515.9434,1612400.98,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RPS4Y1
Q9Y2Z9,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Homo sapiens OX=9606 GN=COQ6 PE=1 SV=2",0,4,232201.4688,21883.80469,27190.75879,43244.44922,271958.8438,32721.89258,194095.3984,13608.08008,23225.25,93131.01563,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,COQ6
P78552,Interleukin-13 receptor subunit alpha-1 OS=Homo sapiens OX=9606 GN=IL13RA1 PE=1 SV=1,0,7,458207.168,56871.6875,39521.85547,43531.95313,47686.98828,68417.63281,861623.6875,47065.28906,51243.4375,48811.59375,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,IL13RA1
Q9NWB6,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,0,10,14659.63086,NA,NA,44606.55469,NA,NA,15224.8291,7279.244629,NA,15806.48047,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,ARGLU1
Q96GK7,Fumarylacetoacetate hydrolase domain-containing protein 2A OS=Homo sapiens OX=9606 GN=FAHD2A PE=1 SV=1,0,22,195410.3164,557546,351270.5625,45049.14844,7122100,3354494.262,4009319.75,6207477.25,616868.1016,4465920,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FAHD2A
O60861,Isoform 1 of Growth arrest-specific protein 7 OS=Homo sapiens OX=9606 GN=GAS7,0,6,210473.4375,51999.65625,24573.9668,45332.90234,68358.09375,261863.0469,618168.9688,158106.8438,1333045.047,190708.4336,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,GAS7
P35269,General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2,0,12,5564537.5,719798.4453,538134.6504,45553.60938,100307.7891,689887.8281,353380.4375,NA,356820.8828,150181.6523,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,GTF2F1
Q9UKK6,NTF2-related export protein 1 OS=Homo sapiens OX=9606 GN=NXT1 PE=1 SV=1,0,10,NA,NA,17227.35254,45702.30078,19563.58008,71804.74609,NA,26652.64453,83855.07031,20783.02148,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,NXT1
P36507,Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,0,19,152900.4375,112619.6143,25742.77148,46225.17578,81527.19531,47065.67969,208408,147052.0625,NA,201225.5039,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,MAP2K2
Q13277,Syntaxin-3 OS=Homo sapiens OX=9606 GN=STX3 PE=1 SV=3,0,11,NA,NA,NA,46611.41797,NA,NA,NA,980768.7969,1102791.25,1099809.25,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,STX3
Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,0,42,1575526.201,1097134.031,175502.9121,47229.91797,1144676.742,1541713.775,1021951.805,752645.1211,986801.7188,941168.3438,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,DBN1
P60673,Profilin-3 OS=Homo sapiens OX=9606 GN=PFN3 PE=2 SV=1,0,10,NA,NA,NA,47563.03516,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PFN3
